Polarities,text
正面,吸收还好
正面,好开心
正面,清洁力还行的
正面,袋子很漂亮
正面,不伤皮肤
负面,包装太简便
正面,物流服务快
正面,一直棒棒
正面,好一点
正面,不厚重
正面,图案漂亮
负面,不能用
正面,包装太简陋了点
正面,持久
中性,保湿
正面,有淡斑效果
负面,最差
正面,赠品很丰富
正面,一点也不紧绷
正面,发货送货很快
正面,价格很优惠
正面,味道还好
中性,还好
正面,无比的高大上
负面,服务太差了
正面,质量棒棒哒
正面,吸收特别好
正面,不是特别油腻
正面,价格多多促销
正面,送货很快
正面,包装完整
正面,客服很好
正面,容易抹开
正面,物流没话说
正面,发货飞快
正面,活动很实惠
正面,好，棒
负面,泡泡很少
正面,满意
正面,隔离效果好
正面,水分还可以
负面,过敏
负面,瓶子塑料比较硬
负面,会掉粉
负面,有点小
正面,物流快速
负面,不吸收
正面,比较自然
负面,颜色偏黄
正面,客服很有耐心
正面,很不错
正面,服务就是好
负面,保湿差一些
正面,保湿真的好
正面,非常好用
正面,非常服帖
正面,比较好用
正面,速度很快
正面,卸妆还不错
正面,服务好评
正面,贴个面部
正面,很服贴
负面,搓泥
正面,很水嫩
正面,比较方便
正面,保湿效果好
正面,超合算
正面,泡泡多
正面,挺显白的
负面,发错
正面,一直用
正面,隔离
正面,更滑
正面,物流太棒了
正面,洁面挺好的
正面,比较适合
正面,感觉不错
负面,好刺鼻
正面,粘稠些
正面,上妆效果很好
正面,比较好推开
正面,价位非常合适
正面,好干净
负面,泛白
正面,特别补水
正面,渗透性很强
正面,很有用
正面,很合适
正面,很保湿
负面,味道刺鼻
正面,超水润
正面,非常舒服
正面,遮红血丝
正面,清洗很容易
负面,不贴合
正面,好精致
中性,遮盖力一般
正面,非常实惠
正面,活动最实惠
中性,上妆效果比较厚重
正面,提好用
正面,量比大
负面,不是很遮瑕
正面,尺寸大小合适
正面,保湿可以
正面,价格很便宜
正面,好便宜
负面,很滑
正面,性价比比较高
正面,特别湿润
正面,味道自然
正面,经济实惠
正面,赠品非常不错
正面,能遮暇
负面,干的脱皮
正面,好得不得了
负面,很旧
中性,稍微有点干
正面,清洁效果很干净
正面,很轻薄透亮
正面,小礼品很多
正面,包装没有破损
正面,很棒
正面,很赞
正面,颜色相近
正面,补水效果还行
负面,长痘
正面,清洁效果不错
负面,不多
正面,活动很划算
正面,补水好
正面,挺舒服
负面,有点硬
正面,涂抹均匀
负面,渣货
正面,快递小哥好
负面,挺麻烦的
正面,不好晕开
正面,包装挺好看的
正面,不够细腻
正面,味道好
正面,好闻
正面,颜色正
负面,清洁能力不太好
正面,满分
正面,更好
正面,物流真是神速
负面,小小
中性,有点小
正面,水份充足
正面,包装不错
正面,比较信得过
正面,纸质不错
正面,保温效果挺好的
正面,赠品很多
正面,吸收挺好
正面,价格多多优惠
正面,遮瑕效果不错
正面,补水没问题
正面,补水效果非常好
负面,包装嫌弃
正面,价钱要低得多
负面,涨价太多了
正面,赞
正面,快递小哥一百个赞
正面,水分足
正面,物流真是快
中性,有点黏黏
正面,包装有档次
正面,精华液特别多
正面,隔离很好用
正面,快递还可以
正面,保湿效果不错
正面,服务周到
负面,容易油
正面,遮暇效果还不错
正面,很好的
正面,不错
正面,精华液量非常足
正面,吸收情况可以
正面,给赞
正面,发货速度挺快的
正面,价格合算
中性,清洁能力
正面,遮瑕效果超级好
正面,盒子很漂亮
负面,稍微干燥
正面,挺便宜的
正面,不干涩
正面,比较干净
负面,包装太简单了
正面,可以啊
负面,连连的
负面,烂东西
正面,物流太快了
中性,有点稠
正面,补水美白效果挺不错
正面,挺滋润补水的
正面,价钱美丽
正面,润
中性,有点白
正面,很多泡泡
正面,很衬肤色
负面,一点点红
正面,发货速度很快
正面,皮肤亮白
中性,很不错
中性,清洁作用很一般
正面,异味没有
负面,效果洗不净
正面,送货很给力
负面,很薄
负面,不太适合
负面,吸收不是很好
负面,清洁能力差的要死
负面,不怎么亮肤
正面,精华液挺多多的
正面,清洁能力还好
正面,最好用
正面,细腻
正面,快递师傅态度很多
正面,优惠活动
正面,一直在用
负面,过期
正面,颜色比较好看
正面,挺舒服的
正面,物流没得说
正面,上妆效果容易上妆
负面,不是很白
正面,非常温和
正面,真品
负面,就要过期了
正面,很喜欢
正面,价格比较实惠
正面,提亮肤色
负面,有点点油
正面,很舒服
正面,泡沫很细腻
负面,难用
负面,浮粉
正面,白的很自然
中性,味道别太香
负面,瓶盖碎了
正面,特别滋润
正面,日期新鲜
正面,质量不错
中性,不知道真假
正面,品质好
正面,快递挺快的
正面,特别服帖
正面,是真品
正面,一如既往的好
正面,特别好
负面,会紧绷
正面,容易冲洗
正面,比较温和
负面,泡沫不太好洗掉
正面,底色很好
正面,好快
正面,清洁能力蛮好的
正面,一点也不干
正面,味道好闻
正面,服务满意
正面,味道还不错
正面,清薄
正面,香味特别喜欢
正面,气味甜美
正面,一点没问题
正面,炒鸡棒棒
负面,超级难用
负面,非常的不好
负面,味道不一样
负面,日期不是新的
负面,比较油腻
正面,很温和
正面,控油情况还行
负面,量有点少
正面,好自然
负面,最垃圾
正面,真的好用
正面,颜色比较均匀
正面,快递挺给力
负面,太小
正面,量也多
正面,物流超级速度
正面,太合适了
正面,蛮好用的
正面,包装漂亮
正面,外观高大上
负面,太差了
正面,赠品靠谱
正面,不会很干
负面,黏黏糊糊
正面,气味很好闻
正面,精华液很多
正面,卸妆很干净
正面,量大耐用
正面,差不多
正面,快递好快
正面,效果比想像的要好
正面,面膜纸很薄
正面,应该还可以
负面,特别少
正面,送货快
正面,超级喜欢
正面,补水效果超级好
正面,超补水
正面,快递大哥好评
正面,真的很不错
正面,物流配送非常快
正面,持久情况还可以
正面,物流超级给力
正面,跟服帖
负面,太差
正面,气色很好
正面,物流好用
负面,水份几乎没有
正面,补水效果挺好的
正面,活动价格优惠
负面,酸酸的
正面,很好闻
负面,比较油
正面,美美的
正面,挺划算的
负面,降价
正面,发货迅速
正面,便宜又实惠
正面,香香的
正面,送货速度快
正面,好，用
正面,价格合适
正面,快递小哥服务态度特别好
负面,不好上妆
正面,比较赞的
正面,精华特别多
中性,希望是正品
正面,适合
正面,包装比较好携带
正面,水份足
负面,难推开
正面,水份多多
正面,补水还行
正面,味道挺清淡的
正面,真的很耐斯
正面,应该也不错
正面,活动力度很大
正面,蛮好的
正面,赠品很好
正面,还好吧
负面,很讨厌
正面,价位
正面,物流小哥服务特别好
中性,防晒效果一般
负面,补水没有太大感觉
负面,快递太不靠谱
负面,气味不好闻
正面,浮粉
正面,确实不错
负面,是假货
正面,蛮轻薄的
正面,保湿效果一整天
正面,五分好评
正面,营养液很充足
正面,快捷
正面,比较水润
正面,5星好评
正面,持妆不错
正面,物流特别给力
正面,补水挺好
正面,挺不错
正面,价格还可以
正面,面膜纸不厚
正面,好的没话说
负面,太厚
正面,包装仔细
正面,活动特别合算
负面,有点香
负面,味道不喜欢
正面,保湿效果特别好
中性,美白效果没看出来
正面,活动优惠
正面,好
正面,水比较多
正面,盒子粉粉的
负面,不敢用
正面,价格优惠
负面,泡沫过于多了
正面,很持久
正面,很惊喜
正面,不错不错
正面,嫩嫩的
正面,发货速度挺快
正面,价位经济
正面,价格挺优惠的
负面,服务不好
正面,赠品不少
正面,吸收挺快
正面,清洁能力挺干净的
正面,快递小哥服务态度很好
正面,补水效果超好
正面,挺好闻的
负面,不适应
负面,好干燥
正面,精华液挺多的
正面,没有刺激感
正面,666
正面,很满意
负面,卸妆水很少
正面,客服很细心
负面,礼盒包装没有
正面,上妆很快
正面,物美价廉
负面,客服态度极差
正面,很自然
正面,补水挺好的
正面,很服帖
正面,不浮粉
正面,快递没话说
负面,塑封袋
正面,快递小哥很给力
正面,特别细腻
正面,很是划算
正面,好使
正面,包装好
正面,比较有气色
正面,挺自然
正面,快递快
中性,赞赞
负面,掉皮
正面,可以
正面,价钱超级值得
正面,量多
负面,卸不干净
正面,赠品实在
正面,赞一下
正面,礼盒很精美
正面,比较轻薄
中性,粉浮着
正面,遮黄效果特别好
正面,比较滋润
负面,精华水少
正面,快递小哥服务好
正面,很亲和
正面,味道有点香
正面,价钱实惠
正面,客服耐心
正面,就是好
正面,补水效果特别好
负面,有些油
正面,更滋润
正面,不觉得油腻
正面,活动挺合适
负面,快递的包装中空的
正面,补水还可以
正面,补水
中性,清洁效果一般般吧
正面,补水效果还是不错的
正面,物超所值
正面,还可以
正面,挺补水
正面,水分超足
正面,不错的
正面,保湿效果非常好
负面,上当了
正面,持久度不错
正面,美白效果很不错
正面,不粘
正面,很便宜
正面,送货挺快
正面,非常好
正面,挺细腻
正面,质量杠杠滴
正面,超级好
正面,快递速度真不是盖的
正面,发货挺快
正面,老板很好
正面,颜色有点暗
正面,便宜了好多
正面,隔离效果还可以
负面,很稀
正面,发货速度一流的
中性,偏白
负面,没那么好用
正面,不是特别显白
正面,保湿效果挺好
正面,比较清爽
正面,味道很熟悉
负面,保质期近期
正面,效果好
正面,快速
正面,去污力强
正面,物流多块
正面,特别干净
正面,价格很实惠
负面,没有那么润
正面,服帖
正面,水分充足
正面,正品
负面,遮瑕不是太好
正面,非常的实惠
负面,不服帖
负面,油腻腻的
中性,厚重
负面,不干净
正面,味道非常好闻
正面,清理力强
正面,隔离效果挺好的
正面,过敏了
正面,快
正面,优秀
负面,是次品
正面,物流还不错
正面,补水不错
负面,香精
负面,太白了
正面,礼物很好
正面,有点脱皮
正面,效果不错
正面,推开不错
负面,卸妆效果不好
负面,黏黏的
正面,有保湿效果
正面,效果很不错
负面,较难清洗
负面,塑料味太浓
负面,活动价格没有便宜很多
正面,棒棒
正面,快递小哥神速
负面,酒精味好浓
正面,水灵灵
正面,物流非常的快
负面,粉底有香味
负面,太裸妆了
中性,酒精味有点点
正面,问道可以
正面,服务很好
正面,滑滑的
正面,泡沫挺多的
负面,很烂
中性,不错
正面,价格低一点
正面,挺流的
正面,妆感还可以
负面,太不靠谱了
正面,收缩毛孔
正面,泡沫丰富度刚刚合适
正面,给力
负面,包装太简陋
正面,补水效果还不错
正面,送货速度非常快
正面,好舒服
正面,补水效果杠杠滴
正面,补水特别好
负面,真心不好用
正面,价格真的优惠
正面,有点白
正面,上妆效果容易上装
负面,被骗了
负面,味道有点刺鼻
正面,轻薄
正面,按压设计很方便
正面,快递给力
正面,五星
正面,贴装
正面,略带香味
负面,遮瑕是假
正面,不粘稠
负面,说明书没有
正面,味道香
正面,舒服
正面,设计很帮
正面,很超值
负面,水漏了
正面,无紧绷感
正面,很贴脸
正面,价格便宜
负面,过敏了
正面,比较保湿
正面,吸收
正面,商家不错
中性,酒精味那么重
正面,比较好
正面,服务态度好
正面,美美哒
正面,味道可以的
正面,白的不浮夸
正面,服务杠杠的
正面,物流真不错
正面,不加白
正面,味道喜欢的
正面,价格很合适
负面,商家态度极差
正面,听服帖
正面,很补水
正面,卖家服务态度好
正面,比较补水
正面,遮瑕的效果特别好
正面,快递及时
正面,提亮
负面,漏了
正面,物流超快
正面,水水润润的
正面,好的
正面,白白嫩嫩的
正面,很不错的
负面,不行
负面,挺干的
正面,特别便宜
正面,挺上色
负面,不怎么白
正面,泡沫细腻
正面,快递超快
正面,粉质细腻
正面,很清爽保湿
正面,挺保湿的
正面,价格优惠很多
中性,防晒效果不清楚
正面,满水润的
正面,挺保湿
正面,清洁力不错
负面,颜色偏深
正面,挺合适的
负面,包装盒太简陋了
中性,泛油光
正面,客服服务态度不错
正面,补水够用了
正面,划算多了
正面,挺实惠
正面,价位实惠
正面,好吸收
正面,优惠
负面,不好用
正面,总体满意
正面,大赞
正面,快递特别快
正面,性价比高
正面,礼品
正面,瓶子新款
正面,很划算的
负面,浮粉比较厉害
正面,快递很给力
正面,物流点赞
正面,隔离特别好
中性,还行吧
正面,去油效果很好
负面,持久情况
负面,太香了
正面,超好用
负面,最差的
正面,真心划算
正面,快递小哥很礼貌
负面,有一点点痒
正面,保湿效果棒棒哒
正面,挺薄
正面,一点刺激感都没有
正面,物流给力
正面,不会差
正面,价格实惠
负面,不显白
正面,太方便了
正面,特价
正面,包装很满意
正面,非常开心
正面,包装很好
正面,包装挺好的
正面,便宜实惠
正面,补水效果特别棒
正面,物流超快的
正面,很干净
正面,便宜太多了
正面,听湿润
负面,外箱
正面,服务很耐心
正面,快递真的很快呀
负面,包装
正面,卸妆很好
正面,防晒效果不错
正面,外观很漂亮
正面,物流挺快
负面,外观粗糙
正面,无异常不适
正面,量挺多的
正面,肤色自然
正面,厚度适中
正面,保湿
正面,不油
正面,上妆效果满好的
正面,快递点个赞
正面,挺服帖
正面,正品保证
负面,挺小的
正面,还行吧
正面,不保湿
正面,挺超值的
负面,味道不是很好闻
中性,很一般
正面,最实汇的
正面,水分很多
正面,包装精美
负面,包装坏了
正面,蛮好
中性,补水效果
正面,物流特别特别给力
正面,超极好
正面,超级好用
负面,面膜液没有多少
正面,nice
正面,不假白
正面,真的
正面,物流速度快
正面,太好了
正面,包装很可爱
正面,温和程度很好
正面,很细
正面,保湿效果很不错
正面,没有过敏
负面,形状不规整
中性,乳液
中性,特别软
负面,特别的干
正面,味道挺好闻的
正面,蛮喜欢的
正面,颜色正合适
负面,坏的
正面,好划算
正面,物流比较快
正面,速度太快了
正面,上妆效果不错
正面,量又足
正面,好上妆
负面,包装没心情了
负面,不太开心
正面,不太刺激
正面,蚕丝面料
正面,水分多
正面,速度好快
中性,没有美白
负面,精华很少
正面,挺干净的
正面,提亮肤色效果好
正面,强力推荐
正面,物流杠杠的
正面,听水嫩的
正面,比较好涂开
正面,清香型
负面,太一般了
正面,润泽
负面,刺激皮肤
正面,特别合算
负面,清洁不是很够
正面,好实惠
正面,洗得干净
正面,亮亮的
正面,持久可以
正面,挺温和
负面,坑人
正面,丝润
中性,遮暇效果一般般
正面,包装很精美
正面,隔离好
正面,到货速度很快
负面,闷痘
负面,香味不是很喜欢
正面,很爽
负面,卸妆效果一般般
正面,颜值较高
正面,滋润度很好
正面,不差
正面,蛮自然的
正面,价格平民价
正面,保湿度很好
正面,包装挺不错的
正面,修正肤色
正面,淡淡的香味
正面,更优惠
正面,香味淡淡得
正面,包装很紧密
正面,保湿效果还不错
正面,很保水
正面,客服态度也很好
正面,特别薄
负面,浪费钱
正面,精华很多
负面,有点胶味
正面,超级滋润
正面,不是特别白
正面,很好用
负面,有点白
正面,快递
正面,补水效果太好
负面,有点紧绷
负面,快递
正面,包装精致
正面,香味可以
负面,包装忒简单
正面,味道很自然
负面,贵了
正面,还挺好
正面,赠品
中性,一般般
正面,贴肤
正面,洁肤很好
正面,值得推荐
正面,吸收很快
正面,白嫩
负面,不持妆
负面,很小
正面,物流给了
正面,容易吸收
负面,粉扑好硬
正面,美白
正面,有美白效果
正面,挺好的
负面,味道不习惯
正面,一直都用
正面,卸妆效果特好
正面,颜值很高
正面,透气性比较好
正面,很多
负面,辣眼睛
负面,粉液一般般
负面,不大好
正面,价格非常合适
正面,持久情况很好
正面,隔离非常好用
正面,性价比较高
正面,用着舒服
正面,应该可以
正面,超赞
正面,方便
中性,起泡量少的
正面,水份挺足的
正面,用着好
正面,不干皮
正面,优惠活动很给力
正面,质地很温和
正面,特别的好用
正面,很提肤色
正面,精华素满满
正面,非常的好用
正面,白了一个度
负面,有点疼
正面,挺喜欢的
正面,好推开
负面,还是干
负面,很忧伤
正面,挺滋润
正面,好用
负面,假的
正面,配送很给力
正面,提亮蛮好
正面,价格非常公道
正面,活动不错
正面,有光泽
正面,干净
